filename,original_name,file_path,file_size,mime_type,alt_text,uploaded_at
"16.Coke Oven Plant at AMNS, Hazira 2.jpeg","16.Coke Oven Plant at AMNS, Hazira 2.jpeg","/media/project-photos/buildings-factories/16.Coke Oven Plant at AMNS, Hazira 2.jpeg",418475,image/jpeg,"Buildings & infrastructure project: 16.Coke Oven Plant at AMNS, Hazira 2",2025-08-22 09:25:35
"16.Coke Oven Plant at AMNS, Hazira 3.webp","16.Coke Oven Plant at AMNS, Hazira 3.webp","/media/project-photos/buildings-factories/16.Coke Oven Plant at AMNS, Hazira 3.webp",35636,image/webp,"Buildings & infrastructure project: 16.Coke Oven Plant at AMNS, Hazira 3",2025-08-22 09:25:35
"17.Construction of Precast elements for Adani Power  Solar, Mundra 1.jpeg","17.Construction of Precast elements for Adani Power  Solar, Mundra 1.jpeg","/media/project-photos/buildings-factories/17.Construction of Precast elements for Adani Power  Solar, Mundra 1.jpeg",73472,image/jpeg,"Buildings & infrastructure project: 17.Construction of Precast elements for Adani Power  Solar, Mundra 1",2025-08-22 09:25:35
"18.Reliance Life Sciences, Nashik 2.jpeg","18.Reliance Life Sciences, Nashik 2.jpeg","/media/project-photos/buildings-factories/18.Reliance Life Sciences, Nashik 2.jpeg",248490,image/jpeg,"Buildings & infrastructure project: 18.Reliance Life Sciences, Nashik 2",2025-08-22 09:25:35
"18.Reliance Life Sciences, Nashik 3.jpeg","18.Reliance Life Sciences, Nashik 3.jpeg","/media/project-photos/buildings-factories/18.Reliance Life Sciences, Nashik 3.jpeg",140554,image/jpeg,"Buildings & infrastructure project: 18.Reliance Life Sciences, Nashik 3",2025-08-22 09:25:35
"19.Expansion at Hindustan Zinc Ltd, Udaipur 2.jpeg","19.Expansion at Hindustan Zinc Ltd, Udaipur 2.jpeg","/media/project-photos/buildings-factories/19.Expansion at Hindustan Zinc Ltd, Udaipur 2.jpeg",204886,image/jpeg,"Buildings & infrastructure project: 19.Expansion at Hindustan Zinc Ltd, Udaipur 2",2025-08-22 09:25:35
"20.Fintech Towers at GIFT City, Ahmedabad 2.jpeg","20.Fintech Towers at GIFT City, Ahmedabad 2.jpeg","/media/project-photos/buildings-factories/20.Fintech Towers at GIFT City, Ahmedabad 2.jpeg",384268,image/jpeg,"Buildings & infrastructure project: 20.Fintech Towers at GIFT City, Ahmedabad 2",2025-08-22 09:25:35
"20.Fintech Towers at GIFT City, Ahmedabad 3.jpeg","20.Fintech Towers at GIFT City, Ahmedabad 3.jpeg","/media/project-photos/buildings-factories/20.Fintech Towers at GIFT City, Ahmedabad 3.jpeg",323400,image/jpeg,"Buildings & infrastructure project: 20.Fintech Towers at GIFT City, Ahmedabad 3",2025-08-22 09:25:35
"20.Fintech Towers at GIFT City, Ahmedabad 4.jpeg","20.Fintech Towers at GIFT City, Ahmedabad 4.jpeg","/media/project-photos/buildings-factories/20.Fintech Towers at GIFT City, Ahmedabad 4.jpeg",420255,image/jpeg,"Buildings & infrastructure project: 20.Fintech Towers at GIFT City, Ahmedabad 4",2025-08-22 09:25:35
"20.Fintech Towers at GIFT City, Ahmedabad 5.jpeg","20.Fintech Towers at GIFT City, Ahmedabad 5.jpeg","/media/project-photos/buildings-factories/20.Fintech Towers at GIFT City, Ahmedabad 5.jpeg",425355,image/jpeg,"Buildings & infrastructure project: 20.Fintech Towers at GIFT City, Ahmedabad 5",2025-08-22 09:25:35
